id,province,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,Santiago,1.6,0.9,1.3,1.20,1.29,1.33,1.48,1.28,1.55,2.04,2.01
1,Duarte,3.9,0.9,1.4,1.48,1.84,1.97,1.29,1.05,1.05,1.47,2.88
2,Elías Piña,2.1,1.8,2.3,2.48,3.33,3.82,4.95,2.53,3.68,6.33,9.05
3,Hato Mayor,1.7,1.0,1.8,1.97,2.22,1.96,2.47,2.04,2.80,3.88,4.43
4,La Vega,0.9,0.6,0.8,0.81,0.55,0.81,1.42,0.81,1.13,2.99,2.69
5,Sánchez Ramírez,0.5,0.8,0.9,1.67,1.94,1.79,1.63,1.25,1.19,2.95,3.41
6,Samaná,2.1,0.8,1.0,1.31,0.77,4.56,1.56,1.45,1.76,4.39,3.82
7,Valverde,1.9,2.9,2.0,2.10,2.38,1.56,2.66,1.34,1.90,2.52,2.72
8,Barahona,1.4,0.4,2.1,1.24,1.30,1.53,2.61,2.70,3.13,4.55,6.32
9,La Romana,7.2,1.5,3.0,2.49,2.83,2.33,3.13,1.84,2.32,4.44,4.11
10,Monseñor Nouel,2.9,0.8,1.6,0.69,1.05,0.68,1.78,0.26,1.06,3.05,2.32
11,Monte Cristi,0.7,1.9,2.0,2.15,2.02,3.25,2.19,2.19,2.80,3.61,4.33
12,Pedernales,0.2,1.3,1.5,5.08,3.47,4.19,2.07,2.63,4.34,7.22,5.12
13,Peravia,1.5,0.9,1.9,1.40,1.15,1.10,1.67,1.25,0.79,1.98,2.11
14,Puerto Plata,1.8,1.7,2.1,2.42,2.38,2.40,2.76,1.05,1.31,2.76,2.64
15,San José de Ocoa,1.3,2.0,1.2,1.84,2.40,2.15,1.24,1.11,1.30,2.08,3.64
16,San Juan,1.7,1.0,2.2,1.23,2.41,2.13,3.31,2.63,1.85,5.02,5.88
17,Santiago Rodríguez,2.1,0.4,0.4,1.83,0.44,1.32,0.65,1.13,1.59,3.03,1.21
18,Distrito Nacional,2.5,1.3,1.5,1.53,2.07,1.46,1.96,1.60,1.89,2.69,2.47
19,El Seibo,1.6,1.6,2.3,1.73,1.76,2.08,2.06,4.88,1.86,3.67,5.05
20,Espaillat,0.7,0.8,0.8,1.23,0.67,0.77,0.83,1.01,0.95,1.83,1.20
21,Hermanas Mirabal,0.4,0.9,1.9,0.64,0.93,2.44,1.49,1.10,0.78,2.93,2.22
22,Independencia,1.6,1.1,2.1,0.71,2.90,1.17,2.36,0.26,0.34,9.64,8.94
23,Baoruco,1.1,0.7,1.4,1.66,1.85,1.64,1.52,2.91,5.09,4.30,7.55
24,Azua,0.9,1.1,1.2,0.94,0.89,1.04,1.41,0.81,0.54,2.28,2.79
25,Dajabón,0.9,0.7,1.2,0.47,0.35,0.82,0.94,0.56,1.05,1.93,2.79
26,La Altagracia,5.2,1.5,3.0,3.55,3.27,2.67,5.40,2.56,2.48,3.30,3.57
27,María Trinidad Sánchez,1.2,0.9,0.6,1.74,0.24,1.20,0.68,0.62,0.63,1.56,1.86
28,Santo Domingo,3.2,1.2,1.8,1.73,1.72,1.73,1.83,1.91,1.91,2.72,3.03
29,Monte Plata,1.5,0.5,1.7,1.27,1.75,1.71,3.87,1.97,2.20,2.64,2.84
30,San Cristóbal,1.7,1.0,2.0,1.30,1.55,1.95,2.50,1.63,2.05,3.58,2.74
31,San Pedro de Macorís,2.2,0.8,1.8,1.54,0.79,1.58,2.04,0.93,1.06,2.14,3.21
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,