id,provinces,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,,,,
0,Santiago,7.4,2.5,3.7,3.9,5.1,5.4,5.6,5.8,5.6,5.4,5.0,,,,
1,Duarte,6.9,4.6,7.9,8.3,7.6,8.0,7.2,7.1,6.5,6.9,6.4,,,,
2,Elías Piña,5.5,2.3,4.4,6.8,6.6,8.5,6.7,5.9,4.4,3.9,4.4,,,,
3,Hato Mayor,5.8,2.9,2.9,4.4,5.4,6.9,8.9,6.0,5.5,5.7,4.8,,,,
4,La Vega,7.4,2.0,4.0,4.7,5.0,5.9,6.0,7.4,7.4,9.0,8.3,,,,
5,Sánchez Ramírez,3.1,1.0,2.0,3.7,4.7,6.6,7.8,7.3,6.1,6.8,4.5,,,,
6,Samaná,3.0,3.9,3.5,4.7,5.8,6.3,8.2,6.7,6.8,7.6,7.7,,,,
7,Valverde,7.5,2.0,3.7,4.6,5.2,7.2,7.1,9.3,5.7,3.2,4.5,,,,
8,Barahona,5.1,2.1,3.3,5.4,6.6,6.7,8.5,7.9,8.4,7.7,8.3,,,,
9,La Romana,7.0,2.1,4.4,5.3,5.9,6.6,6.2,5.1,3.8,4.3,5.2,,,,
10,Monseñor Nouel,9.6,1.7,2.7,3.0,2.6,3.4,3.5,3.7,5.0,4.3,6.1,,,,
11,Monte Cristi,4.1,2.7,5.4,7.7,6.3,9.3,10.8,8.1,7.9,7.6,4.7,,,,
12,Pedernales,1.0,1.9,3.4,5.4,3.3,5.5,5.5,6.2,5.0,10.0,7.4,,,,
13,Peravia,9.0,2.1,3.8,3.8,5.6,8.3,8.6,7.4,6.3,8.8,6.7,,,,
14,Puerto Plata,3.4,2.9,3.9,4.8,5.4,5.8,5.7,6.0,4.9,4.6,3.5,,,,
15,San José de Ocoa,5.1,1.9,3.6,4.3,3.0,3.2,4.1,3.7,2.6,3.1,3.9,,,,
16,San Juan,6.4,3.6,4.1,5.3,4.5,5.2,7.4,5.6,5.4,7.3,9.1,,,,
17,Santiago Rodríguez,6.3,1.8,3.6,4.5,4.5,5.1,4.3,5.5,4.6,4.0,2.9,,,,
18,Distrito Nacional,4.8,2.0,3.6,3.7,4.4,5.4,5.6,4.6,3.6,4.4,4.6,,,,
19,El Seibo,7.3,2.4,3.1,3.4,3.6,5.1,5.0,5.8,4.6,7.0,6.7,,,,
20,Espaillat,5.1,2.3,4.9,5.7,6.1,5.2,6.8,8.1,6.1,8.1,8.3,,,,
21,Hermanas Mirabal,3.9,3.0,2.7,3.6,4.9,6.4,5.9,4.9,6.1,6.6,6.5,,,,
22,Independencia,3.2,1.8,2.5,3.6,3.9,5.1,10.8,5.5,6.1,6.0,7.0,,,,
23,Baoruco,5.5,1.7,2.3,4.6,5.3,7.5,5.5,4.7,5.3,5.6,6.2,,,,
24,Azua,8.1,2.4,4.8,5.5,5.7,5.4,5.6,6.5,4.8,4.5,3.6,,,,
25,Dajabón,9.6,2.4,3.6,4.6,5.0,7.2,7.3,6.9,5.7,4.4,2.7,,,,
26,La Altagracia,8.6,1.5,2.8,5.1,5.4,7.0,8.6,7.8,5.6,6.2,6.9,,,,
27,María Trinidad Sánchez,5.4,2.5,2.9,3.4,4.1,5.2,5.9,2.0,3.3,3.5,3.7,,,,
28,Santo Domingo,6.2,2.0,3.5,3.5,4.4,5.3,6.2,4.3,4.0,4.4,5.0,,,,
29,Monte Plata,6.8,2.1,3.0,4.0,5.5,6.0,4.6,3.5,4.0,3.0,2.8,,,,
30,San Cristóbal,6.1,1.3,2.7,4.3,4.9,6.5,8.2,5.2,4.4,6.4,6.3,,,,
31,San Pedro de Macorís,6.5,2.4,3.9,5.7,6.6,7.0,6.7,4.3,5.5,6.2,5.4,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,