id,shapeName,COORD_X,COORD_Y,0,1,2,3,4,5,6
0,Santiago,-70.90023936,19.32987398,549764023.9,532500517.9,542894446.4,618520384.2,679538106.8,810424384,927893712.6
1,Duarte,-70.08188266,19.25900851,131939.96,1053438.3,588095,4166601.93,18544510.7,17328060.3,18024474.61
2,Elías Piña,-71.61072952,18.9996431,0,0,0,0,0,0,0
3,Hato Mayor,-69.3699779,18.86425926,0,350000,3501456,3748946.2,1201975,1401975,1237451
4,La Vega,-70.6311568,19.05388963,41049789.56,40072679.2,41397804.18,42888640.1,44213754.4,49863556.7,48503969.15
5,Sánchez Ramírez,-70.13832495,19.0185932,0,0,0,0,0,0,0
6,Samaná,-69.48346348,19.22624894,0,0,0,0,0,0,0
7,Valverde,-71.04164778,19.58566182,28160673,22456491.7,21562882,19889916.14,22563480,21882449,19795843.72
8,Barahona,-71.21539877,18.16763014,53300000,54400000,54400000,48740000,20678000,20678000,25000000
9,La Romana,-68.92504118,18.44629792,143935569.5,122029825.7,131356603.8,145852159.3,175992584.2,227180019.2,216413347.2
10,Monseñor Nouel,-70.41527514,18.90589581,116210115,70633388.9,102231769,122990724.4,215917893,216250218,220004892.2
11,Monte Cristi,-71.44858556,19.72021473,0,0,0,0,0,0,0
12,Pedernales,-71.53465386,17.96061689,28000000,17000000,17000000,13800000,9000000,11829180.1,12000000
13,Peravia,-70.37209758,18.33434347,10800470.35,11832510.3,10903773.99,10259062.14,4170565.5,5021427.1,7576911.08
14,Puerto Plata,-70.79864995,19.74440489,2893421.81,4141555.4,6387900.94,8556233.534,8553756.2,12873522.6,13735084.78
15,San José de Ocoa,-70.49515803,18.61884415,0,0,0,0,0,0,0
16,San Juan,-71.28908857,18.87675881,0,0,0,0,0,0,0
17,Santiago Rodríguez,-71.32319934,19.37963033,0,0,0,0,0,0,0
18,Distrito Nacional,-69.94167788,18.48462608,0,0,0,0,0,0,0
19,El Seibo,-69.04548802,18.81960669,180000,165428,350000,464000,500000,500000,750000
20,Espaillat,-70.39277562,19.53547357,21420726.14,19610193.8,9765436.56,8980280.502,12577321.8,11770957.9,17494945.85
21,Hermanas Mirabal,-70.36839547,19.41722214,0,0,0,0,0,0,0
22,Independencia,-71.61889612,18.41928583,0,0,0,0,0,0,0
23,Baoruco,-71.33339499,18.51195575,0,0,0,0,0,0,0
24,Azua,-70.83345558,18.58192089,0,0,0,0,0,0,0
25,Dajabón,-71.6025974,19.43922628,0,0,0,0,0,0,0
26,La Altagracia,-68.65601566,18.57945981,0,0,0,0,0,0,0
27,María Trinidad Sánchez,-69.96923686,19.44712042,0,0,0,0,0,0,0
28,Santo Domingo,-69.84964737,18.56734079,780865068,781026680.8,765577541.3,806170481.2,1032047793,960632147.8,983829767.2
29,Monte Plata,-69.79961039,18.83698986,0,0,0,0,0,0,0
30,San Cristóbal,-70.20701284,18.52278397,300078129.5,381731271.5,431655944.2,472805203.6,534678384.5,416632006.6,505824426.4
31,San Pedro de Macorís,-69.36112749,18.5519223,115308362.5,130019658.5,156642724.4,197301066.5,158722259.2,301481303.4,318600072.8