code ,park,ent10,ent11,absolute variation
DOM-AND,andrés,1,1,0
DOM-BAN,baní,6,6,0
DOM-BAR,barahona,1,1,0
DOM-VIS,bella vista,1,1,0
DOM-BON,bonao,3,2,-1
DOM-CIP,caribbean ind. park,18,20,2
DOM-CIB,cibernético,8,11,3
DOM-CHE,chemtec,6,7,1
DOM-DOS,dos rios,1,1,0
DOM-LIM,el limonal,2,2,0
DOM-SEI,el seibo,1,1,0
DOM-ESP,esperanza,8,6,-2
DOM-EXC,excel boca chica,2,2,0
DOM-GUR,gurabo,7,7,0
DOM-HAI,hainamosa,7,6,-1
DOM-HAT,hato mayor,0,1,1
DOM-HAN,hato nuevo,5,5,0
DOM-INT,interexport free zone,1,1,0
DOM-JAI,jaibón,0,1,1
DOM-ARM,la armería,5,5,0
DOM-HIS,la hispaniola,1,1,0
DOM-PAL,la palma,5,5,0
DOM-ROM,la romana i,6,7,1
DOM-RII,la romana ii,3,3,0
DOM-VEG,la vega,23,21,-2
DOM-LAS,las américas,21,25,4
DOM-ALC,los alcarrizos,14,13,-1
DOM-MOC,moca,8,9,1
DOM-MUT,multiparques,2,2,0
DOM-MUL,multimodal caucedo,3,3,0
DOM-NAV,navarrete,2,2,0
DOM-NIG,nigua,9,9,0
DOM-PAB,palmar abajo,1,1,0
DOM-PAM,palmarejo,5,5,0
DOM-PED,pedernales,1,1,0
DOM-PER,perlav,2,3,1
DOM-PIS,pisano,24,29,5
DOM-PON,pontezuela almedio,0,1,1
DOM-PUE,puerto plata,7,6,-1
DOM-SAL,salcedo,1,1,0
DOM-CRI,san cristóbal (itabo),36,39,3
DOM-FRA,san francisco demacorís,1,2,1
DOM-ISI,san isidro,39,34,-5
DOM-MAC,san pedro de macorís,38,41,3
DOM-S12,santiago,67,70,3
DOM-JAN,santiago - jánico,2,2,0
DOM-YAQ,parque ind. y de servicios yaque,1,1,0
DOM-SLI,parque tecnológico de santiago,8,9,1
DOM-TAM,tamboril,8,9,1
DOM-ALT,villa altagracia,7,4,-3
DOM-MEL,villamella,5,6,1
DOM-ZFE,zonas francas especiales,122,127,5