code ,park,ent11,ent12,absolute variation
DOM-AND,andrés,1,1,0
DOM-BAN,baní,6,6,0
DOM-BAR,barahona,1,1,0
DOM-VIS,bella vista,1,1,0
DOM-BON,bonao,2,2,0
DOM-CIP,caribbean ind. park,20,20,0
DOM-CIB,cibernético,11,8,-3
DOM-CHE,chemtec,7,8,1
DOM-DOS,dos rios,1,1,0
DOM-LIM,el limonal,2,2,0
DOM-SEI,el seibo,1,2,1
DOM-ESP,esperanza,6,4,-2
DOM-EXC,excel boca chica,2,1,-1
DOM-GUR,gurabo,7,9,2
DOM-GLO,global zona franca industrial,0,1,1
DOM-HAI,hainamosa,6,5,-1
DOM-HAT,hato mayor,1,1,0
DOM-HAN,hato nuevo,5,5,0
DOM-INT,interexport free zone,1,1,0
DOM-JAI,jaibón,1,1,0
DOM-ARM,la armería,5,6,1
DOM-HIS,la hispaniola,1,1,0
DOM-PAL,la palma,5,5,0
DOM-ROM,la romana i,7,7,0
DOM-RII,la romana ii,3,3,0
DOM-VEG,la vega,21,19,-2
DOM-LAS,las américas,25,23,-2
DOM-ALC,los alcarrizos,13,13,0
DOM-MOC,moca,9,9,0
DOM-MUT,multiparques,2,2,0
DOM-MUL,multimodal caucedo,3,3,0
DOM-NAV,navarrete,2,1,-1
DOM-NIG,nigua,9,9,0
DOM-PAB,palmar abajo,1,1,0
DOM-PAM,palmarejo,5,5,0
DOM-PED,pedernales,1,1,0
DOM-PER,perlav,3,3,0
DOM-PIS,pisano,29,25,-4
DOM-PON,pontezuela al medio,1,1,0
DOM-PUE,puerto plata,6,7,1
DOM-SAL,salcedo,1,1,0
DOM-CRI,san cristóbal (itabo),39,38,-1
DOM-FRA,san francisco de macorís,2,2,0
DOM-ISI,san isidro,34,31,-3
DOM-MAC,san pedro de macorís,41,40,-1
DOM-S12,santiago,70,78,8
DOM-JAN,santiago - jánico,2,2,0
DOM-YAQ,parque ind. y de servicios yaque,1,1,0
DOM-SLI,parque tecnológico de santiago,9,8,-1
DOM-TAM,tamboril,9,7,-2
DOM-ALT,villa altagracia,4,4,0
DOM-MEL,villa mella,6,6,0
DOM-SAG,zona franca ind. sag,0,2,2
DOM-ZFE,zonas francas especiales,127,140,13