id,province,year,ini_edu_dropout,bas_edu_dropout,med_edu_dropout,l_inv,ent,crime,op_salary,tec_salary
0,Santiago,0,2.01,2.9,5.0,20.12499969666905,146,240,18488.660000000003,34591.88
1,Duarte,0,2.88,2.7,6.4,11.79010224960871,1,78,1246.15,2500.0
2,Elías Piña,0,9.05,6.5,4.4,0.0,0,19,0.0,0.0
3,Hato Mayor,0,4.43,4.3,4.8,0.0,0,10,0.0,0.0
4,La Vega,0,2.69,3.4,8.3,17.53029626741839,23,107,1466.29,3190.84
5,Sánchez Ramírez,0,3.41,2.9,4.5,0.0,0,20,0.0,0.0
6,Samaná,0,3.82,3.9,7.7,0.0,0,24,0.0,0.0
7,Valverde,0,2.72,2.2,4.5,17.153436988116262,8,35,1917.25,3441.63
8,Barahona,0,6.32,8.3,8.3,17.791446889136072,2,35,3175.0,7600.0
9,La Romana,0,4.11,4.7,5.2,18.784876323384022,9,72,3244.19,7605.6399999999985
10,Monseñor Nouel,0,2.32,2.3,6.1,18.57091044678638,5,48,6135.1900000000005,10321.73
11,Monte Cristi,0,4.33,1.5,4.7,0.0,0,22,0.0,0.0
12,Pedernales,0,5.12,13.1,7.4,17.14771506813948,1,3,1154.0,2770.0
13,Peravia,0,2.11,3.6,6.7,16.19510024207206,6,51,1569.25,3412.46
14,Puerto Plata,0,2.64,1.9,3.5,14.877950376993967,7,61,1836.5,3522.93
15,San José de Ocoa,0,3.64,5.3,3.9,0.0,0,6,0.0,0.0
16,San Juan,0,5.88,7.7,9.1,0.0,0,57,0.0,0.0
17,Santiago Rodríguez,0,1.21,1.1,2.9,0.0,0,8,0.0,0.0
18,Distrito Nacional,0,2.47,3.2,4.6,0.0,0,318,0.0,0.0
19,El Seibo,0,5.05,6.8,6.7,12.100712129872347,1,19,1450.0,4500.0
20,Espaillat,0,1.2,2.2,8.3,16.879869522502652,8,44,1345.69,2684.83
21,Hermanas Mirabal,0,2.22,2.3,6.5,0.0,0,21,0.0,0.0
22,Independencia,0,8.94,4.6,7.0,0.0,0,7,0.0,0.0
23,Baoruco,0,7.55,6.4,6.2,0.0,0,19,0.0,0.0
24,Azua,0,2.79,4.3,3.6,0.0,0,40,0.0,0.0
25,Dajabón,0,2.79,2.6,2.7,0.0,0,20,0.0,0.0
26,La Altagracia,0,3.57,7.5,6.9,0.0,0,90,0.0,0.0
27,María Trinidad Sánchez,0,1.86,1.5,3.7,0.0,0,18,0.0,0.0
28,Santo Domingo,0,3.03,2.6,5.0,20.47591292463197,106,629,17644.11,44931.77
29,Monte Plata,0,2.84,1.8,2.8,0.0,0,34,0.0,0.0
30,San Cristóbal,0,2.74,3.2,6.3,19.519553430380704,57,148,6810.610000000001,14970.779999999999
31,San Pedro de Macorís,0,3.21,4.8,5.4,18.563120510796583,44,75,3127.21,7519.47
0,Santiago,1,2.04,1.9,5.4,20.09309442812954,158,216,20047.4,35891.99
1,Duarte,1,1.47,2.1,6.9,13.8675699438288,2,74,1246.15,2500.0
2,Elías Piña,1,6.33,7.0,3.9,0.0,0,12,0.0,0.0
3,Hato Mayor,1,3.88,3.2,5.7,12.765688433465597,1,14,1063.0,2800.0
4,La Vega,1,2.99,2.9,9.0,17.506205343366865,21,85,1584.76,3356.29
5,Sánchez Ramírez,1,2.95,2.8,6.8,0.0,0,32,0.0,0.0
6,Samaná,1,4.39,3.2,7.6,0.0,0,20,0.0,0.0
7,Valverde,1,2.52,2.8,3.2,16.927090292936615,6,30,1616.67,3312.5
8,Barahona,1,4.55,7.8,7.7,17.81187471182617,2,43,2967.0,6200.0
9,La Romana,1,4.44,5.1,4.3,18.619776045769708,10,63,3118.8,6760.1
10,Monseñor Nouel,1,3.05,2.5,4.3,18.073013521261945,4,49,5536.96,11807.75
11,Monte Cristi,1,3.61,2.0,7.6,0.0,0,28,0.0,0.0
12,Pedernales,1,7.22,8.9,10.0,16.64872390202049,1,4,1300.0,2800.0
13,Peravia,1,1.98,2.8,8.8,16.286361411246,6,58,1875.22,3684.9
14,Puerto Plata,1,2.76,2.2,4.6,15.236581975726834,6,62,1660.5,3325.0
15,San José de Ocoa,1,2.08,3.9,3.1,0.0,0,4,0.0,0.0
16,San Juan,1,5.02,6.4,7.3,0.0,0,59,0.0,0.0
17,Santiago Rodríguez,1,3.03,1.7,4.0,0.0,0,11,0.0,0.0
18,Distrito Nacional,1,2.69,2.4,4.4,0.0,0,397,0.0,0.0
19,El Seibo,1,3.67,5.8,7.0,12.016291333822364,1,19,1475.0,4800.0
20,Espaillat,1,1.83,2.5,8.1,16.791560080836597,9,33,1603.33,2750.0
21,Hermanas Mirabal,1,2.93,2.6,6.6,0.0,0,19,0.0,0.0
22,Independencia,1,9.64,5.3,6.0,0.0,0,11,0.0,0.0
23,Baoruco,1,4.3,6.7,5.6,0.0,0,25,0.0,0.0
24,Azua,1,2.28,4.0,4.5,0.0,0,36,0.0,0.0
25,Dajabón,1,1.93,2.3,4.4,0.0,0,12,0.0,0.0
26,La Altagracia,1,3.3,4.6,6.2,0.0,0,92,0.0,0.0
27,María Trinidad Sánchez,1,1.56,1.1,3.5,0.0,0,23,0.0,0.0
28,Santo Domingo,1,2.72,2.3,4.4,20.476119869576394,107,658,19994.14,46435.11
29,Monte Plata,1,2.64,3.3,3.0,0.0,0,39,0.0,0.0
30,San Cristóbal,1,3.58,2.9,6.4,19.76022744126558,57,173,8269.28,17299.38
31,San Pedro de Macorís,1,2.14,4.1,6.2,18.68319621621815,48,73,3375.01,7066.64
0,Santiago,2,1.55,1.7,5.6,20.112425469315163,160,206,20710.6,39013.3
1,Duarte,2,1.05,1.4,6.5,13.284643778456456,2,75,1479.23,2800.0
2,Elías Piña,2,3.68,7.7,4.4,0.0,0,18,0.0,0.0
3,Hato Mayor,2,2.8,2.7,5.5,15.068689439955632,1,24,1500.0,3300.0
4,La Vega,2,1.13,2.8,7.4,17.538738398258484,19,95,1727.62,3686.81
5,Sánchez Ramírez,2,1.19,2.5,6.1,0.0,0,26,0.0,0.0
6,Samaná,2,1.76,3.3,6.8,0.0,0,26,0.0,0.0
7,Valverde,2,1.9,2.7,5.7,16.886483968540958,4,31,1900.0,3700.0
8,Barahona,2,3.13,5.7,8.4,17.81187471182617,2,33,3017.0,6200.0
9,La Romana,2,2.32,3.2,3.8,18.693426349192876,10,64,3711.76,7408.85
10,Monseñor Nouel,2,1.06,1.5,5.0,18.442753038701646,4,41,6298.93,17373.9
11,Monte Cristi,2,2.8,3.5,7.9,0.0,0,27,0.0,0.0
12,Pedernales,2,4.34,5.9,5.0,16.64872390202049,1,3,1425.0,2800.0
13,Peravia,2,0.79,2.4,6.3,16.20461952488764,6,57,2718.83,4803.13
14,Puerto Plata,2,1.31,1.6,4.9,15.6699162809958,7,61,1823.72,4500.0
15,San José de Ocoa,2,1.3,3.1,2.6,0.0,0,6,0.0,0.0
16,San Juan,2,1.85,5.4,5.4,0.0,0,53,0.0,0.0
17,Santiago Rodríguez,2,1.59,1.4,4.6,0.0,0,2,0.0,0.0
18,Distrito Nacional,2,1.89,2.0,3.6,0.0,0,331,0.0,0.0
19,El Seibo,2,1.86,4.1,4.6,12.765688433465597,2,31,1567.62,3811.5
20,Espaillat,2,0.95,1.8,6.1,16.094359827898828,9,51,1742.84,3550.31
21,Hermanas Mirabal,2,0.78,1.3,6.1,0.0,0,23,0.0,0.0
22,Independencia,2,0.34,4.5,6.1,0.0,0,15,0.0,0.0
23,Baoruco,2,5.09,6.8,5.3,0.0,0,25,0.0,0.0
24,Azua,2,0.54,3.1,4.8,0.0,0,41,0.0,0.0
25,Dajabón,2,1.05,3.0,5.7,0.0,0,21,0.0,0.0
26,La Altagracia,2,2.48,4.7,5.6,0.0,0,89,0.0,0.0
27,María Trinidad Sánchez,2,0.63,1.1,3.3,0.0,0,22,0.0,0.0
28,Santo Domingo,2,1.91,1.7,4.0,20.45614106290263,98,784,30607.49,57090.56
29,Monte Plata,2,2.2,2.5,4.0,0.0,0,42,0.0,0.0
30,San Cristóbal,2,2.05,1.8,4.4,19.88313940343017,57,128,8040.33,15428.39
31,San Pedro de Macorís,2,1.06,3.8,5.5,18.869478129342923,48,66,3609.13,8824.41
0,Santiago,3,1.28,2.9,5.8,20.2428407067315,165,207,22411.88,40320.12
1,Duarte,3,1.05,1.8,7.1,15.242611376683723,3,79,4526.7,9675.0
2,Elías Piña,3,2.53,7.0,5.9,0.0,0,13,0.0,0.0
3,Hato Mayor,3,2.04,2.8,6.0,15.136985345121614,1,13,1665.0,3800.0
4,La Vega,3,0.81,2.7,7.4,17.574117549298858,18,92,1894.85,3737.21
5,Sánchez Ramírez,3,1.25,2.5,7.3,0.0,0,23,0.0,0.0
6,Samaná,3,1.45,2.9,6.7,0.0,0,14,0.0,0.0
7,Valverde,3,1.34,3.8,9.3,16.805723434632228,5,36,2125.48,4437.5
8,Barahona,3,2.7,6.1,7.9,17.702010606161334,2,47,5077.0,12500.0
9,La Romana,3,1.84,3.2,5.1,18.79810405910499,10,60,3816.24,7390.63
10,Monseñor Nouel,3,0.26,1.5,3.7,18.627619499110995,5,53,8775.01,14086.58
11,Monte Cristi,3,2.19,3.7,8.1,0.0,0,27,0.0,0.0
12,Pedernales,3,2.63,6.3,6.2,16.440179150127435,1,5,1580.0,3500.0
13,Peravia,3,1.25,2.9,7.4,16.143671984172084,5,46,1885.83,4141.25
14,Puerto Plata,3,1.05,1.8,6.0,15.962170643575847,6,69,1784.86,3974.11
15,San José de Ocoa,3,1.11,3.0,3.7,0.0,0,6,0.0,0.0
16,San Juan,3,2.63,4.9,5.6,0.0,0,38,0.0,0.0
17,Santiago Rodríguez,3,1.13,2.0,5.5,0.0,0,10,0.0,0.0
18,Distrito Nacional,3,1.6,2.7,4.6,0.0,0,259,0.0,0.0
19,El Seibo,3,4.88,5.4,5.8,13.047639831208393,2,20,1671.34,3811.5
20,Espaillat,3,1.01,2.0,8.1,16.010541676093435,11,42,2043.0,3587.22
21,Hermanas Mirabal,3,1.1,1.2,4.9,0.0,0,18,0.0,0.0
22,Independencia,3,0.26,3.3,5.5,0.0,0,16,0.0,0.0
23,Baoruco,3,2.91,6.7,4.7,0.0,0,33,0.0,0.0
24,Azua,3,0.81,3.2,6.5,0.0,0,32,0.0,0.0
25,Dajabón,3,0.56,2.7,6.9,0.0,0,11,0.0,0.0
26,La Altagracia,3,2.56,5.2,7.8,0.0,0,77,0.0,0.0
27,María Trinidad Sánchez,3,0.62,1.2,2.0,0.0,0,29,0.0,0.0
28,Santo Domingo,3,1.91,2.0,4.3,20.507805793241207,104,662,32148.349999999995,62856.34000000001
29,Monte Plata,3,1.97,2.2,3.5,0.0,0,37,0.0,0.0
30,San Cristóbal,3,1.63,2.2,5.2,19.974194029917765,57,120,8700.91,16784.13
31,San Pedro de Macorís,3,0.93,4.1,4.3,19.100241376452132,47,74,4705.77,9847.66
0,Santiago,4,1.48,1.8,5.6,20.336923870630546,178,171,25838.33,48287.01
1,Duarte,4,1.29,1.9,7.2,16.735684384087545,3,73,4706.14,8890.34
2,Elías Piña,4,4.95,7.3,6.7,0.0,0,14,0.0,0.0
3,Hato Mayor,4,2.47,2.4,8.9,13.99947659519211,1,13,1666.0,5000.0
4,La Vega,4,1.42,2.4,6.0,17.604546484160117,16,73,1942.0,4189.4
5,Sánchez Ramírez,4,1.63,1.8,7.8,0.0,0,22,0.0,0.0
6,Samaná,4,1.56,2.3,8.2,0.0,0,20,0.0,0.0
7,Valverde,4,2.66,3.5,7.1,16.931843228017154,6,27,2251.63,4885.71
8,Barahona,4,2.61,4.0,8.5,16.844580891128775,2,43,5366.6,13700.0
9,La Romana,4,3.13,3.0,6.2,18.98595241688744,11,48,4718.32,10931.3
10,Monseñor Nouel,4,1.78,1.8,3.5,19.190408768382618,5,28,10917.0,17293.67
11,Monte Cristi,4,2.19,3.5,10.8,0.0,0,19,0.0,0.0
12,Pedernales,4,2.07,5.2,5.5,16.012735135300492,1,5,1805.0,3500.0
13,Peravia,4,1.67,2.6,8.6,15.243562196091366,7,41,1891.12,4004.09
14,Puerto Plata,4,2.76,2.0,5.7,15.961881066076874,6,59,1910.4,3575.0
15,San José de Ocoa,4,1.24,2.5,4.1,0.0,0,7,0.0,0.0
16,San Juan,4,3.31,3.9,7.4,0.0,0,42,0.0,0.0
17,Santiago Rodríguez,4,0.65,1.5,4.3,0.0,0,7,0.0,0.0
18,Distrito Nacional,4,1.96,2.5,5.6,0.0,0,250,0.0,0.0
19,El Seibo,4,2.06,4.2,5.0,13.122363377404328,2,18,1707.5,3722.5
20,Espaillat,4,0.83,1.5,6.8,16.347405893089817,9,32,2316.78,4106.91
21,Hermanas Mirabal,4,1.49,1.1,5.9,0.0,0,18,0.0,0.0
22,Independencia,4,2.36,2.8,10.8,0.0,0,10,0.0,0.0
23,Baoruco,4,1.52,4.6,5.5,0.0,0,21,0.0,0.0
24,Azua,4,1.41,3.2,5.6,0.0,0,36,0.0,0.0
25,Dajabón,4,0.94,2.8,7.3,0.0,0,15,0.0,0.0
26,La Altagracia,4,5.4,4.8,8.6,0.0,0,75,0.0,0.0
27,María Trinidad Sánchez,4,0.68,1.0,5.9,0.0,0,19,0.0,0.0
28,Santo Domingo,4,1.83,1.7,6.2,20.75481081397997,102,580,37303.170000000006,59850.170000000006
29,Monte Plata,4,3.87,2.5,4.6,0.0,0,29,0.0,0.0
30,San Cristóbal,4,2.5,2.1,8.2,20.0971759736296,60,108,9614.23,17297.53
31,San Pedro de Macorís,4,2.04,3.7,6.7,18.882666435270504,46,67,4773.77,10260.74
0,Santiago,5,1.33,1.7,5.4,20.513068599291103,185,204,33200.780000000006,60091.85999999999
1,Duarte,5,1.97,1.9,8.0,16.66783772813375,3,70,4839.91,9191.439999999999
2,Elías Piña,5,3.82,6.6,8.5,0.0,0,11,0.0,0.0
3,Hato Mayor,5,1.96,2.9,6.9,14.153392514748642,1,12,1666.0,5000.0
4,La Vega,5,0.81,1.8,5.9,17.72480096725001,17,69,2176.73,4754.71
5,Sánchez Ramírez,5,1.79,1.5,6.6,0.0,0,25,0.0,0.0
6,Samaná,5,4.56,2.6,6.3,0.0,0,22,0.0,0.0
7,Valverde,5,1.56,1.7,7.2,16.901195457956515,6,24,2351.49,5225.38
8,Barahona,5,1.53,3.6,6.7,16.844580891128775,2,42,3700.0,6619.0
9,La Romana,5,2.33,2.9,6.6,19.24125329728203,12,43,5132.18,9693.65
10,Monseñor Nouel,5,0.68,1.1,3.4,19.19194671186824,5,30,9218.67,16996.08
11,Monte Cristi,5,3.25,3.4,9.3,0.0,0,18,0.0,0.0
12,Pedernales,5,4.19,5.2,5.5,16.28607992670574,1,6,1800.0,3500.0
13,Peravia,5,1.1,2.6,8.3,15.429224734135719,7,51,2365.14,5295.21
14,Puerto Plata,5,2.4,1.9,5.8,16.370683248415283,9,50,2260.84,3785.0
15,San José de Ocoa,5,2.15,2.7,3.2,0.0,0,10,0.0,0.0
16,San Juan,5,2.13,3.1,5.2,0.0,0,39,0.0,0.0
17,Santiago Rodríguez,5,1.32,1.1,5.1,0.0,0,6,0.0,0.0
18,Distrito Nacional,5,1.46,1.6,5.4,0.0,0,182,0.0,0.0
19,El Seibo,5,2.08,4.7,5.1,13.122363377404328,2,19,1937.85,2875.0
20,Espaillat,5,0.77,1.8,5.2,16.281145860801697,8,52,2597.49,4287.64
21,Hermanas Mirabal,5,2.44,1.6,6.4,0.0,0,19,0.0,0.0
22,Independencia,5,1.17,3.4,5.1,0.0,0,19,0.0,0.0
23,Baoruco,5,1.64,5.0,7.5,0.0,0,23,0.0,0.0
24,Azua,5,1.04,2.9,5.4,0.0,0,25,0.0,0.0
25,Dajabón,5,0.82,2.2,7.2,0.0,0,11,0.0,0.0
26,La Altagracia,5,2.67,3.9,7.0,0.0,0,67,0.0,0.0
27,María Trinidad Sánchez,5,1.2,1.3,5.2,0.0,0,23,0.0,0.0
28,Santo Domingo,5,1.73,1.9,5.3,20.683102113010193,104,433,37035.09,68626.53
29,Monte Plata,5,1.71,2.9,6.0,0.0,0,29,0.0,0.0
30,San Cristóbal,5,1.95,2.5,6.5,19.847713911972516,60,117,10033.619999999997,19472.48
31,San Pedro de Macorís,5,1.58,3.6,7.0,19.524218560268395,50,59,4871.129999999999,10329.4
0,Santiago,6,1.29,1.7,5.1,20.648427750354767,192,207,35022.43,72326.47999999998
1,Duarte,6,1.84,1.8,7.6,16.707241092860272,3,75,4819.99,9191.48
2,Elías Piña,6,3.33,7.2,6.6,0.0,0,14,0.0,0.0
3,Hato Mayor,6,2.22,2.6,5.4,14.028564176681446,1,13,1916.0,5000.0
4,La Vega,6,0.55,1.7,5.0,17.697156190703485,17,67,2221.09,4671.84
5,Sánchez Ramírez,6,1.94,1.5,4.7,0.0,0,23,0.0,0.0
6,Samaná,6,0.77,2.3,5.8,0.0,0,21,0.0,0.0
7,Valverde,6,2.38,2.7,5.2,16.800982560498607,6,23,2302.99,5021.32
8,Barahona,6,1.3,4.1,6.6,17.034386382832476,2,40,3934.12,6629.0
9,La Romana,6,2.83,2.6,5.9,19.19270078140795,10,49,4986.18,7921.2
10,Monseñor Nouel,6,1.05,1.4,2.6,19.20916034134212,5,44,10404.18,17125.56
11,Monte Cristi,6,2.02,2.8,6.3,0.0,0,16,0.0,0.0
12,Pedernales,6,3.47,6.2,3.3,16.300417207752275,1,5,1743.6,3145.0
13,Peravia,6,1.15,2.7,5.6,15.840616165329273,7,33,2461.5,5286.29
14,Puerto Plata,6,2.38,1.9,5.4,16.435464050044335,10,34,2371.13,4466.67
15,San José de Ocoa,6,2.4,2.7,3.0,0.0,0,11,0.0,0.0
16,San Juan,6,2.41,2.7,4.5,0.0,0,42,0.0,0.0
17,Santiago Rodríguez,6,0.44,1.3,4.5,0.0,0,5,0.0,0.0
18,Distrito Nacional,6,2.07,1.8,4.4,0.0,0,208,0.0,0.0
19,El Seibo,6,1.76,3.8,3.6,13.527828485512494,2,15,1919.0,3700.0
20,Espaillat,6,0.67,1.8,6.1,16.677422588609087,9,36,2540.5,4488.96
21,Hermanas Mirabal,6,0.93,1.7,4.9,0.0,0,13,0.0,0.0
22,Independencia,6,2.9,3.3,3.9,0.0,0,5,0.0,0.0
23,Baoruco,6,1.85,4.7,5.3,0.0,0,18,0.0,0.0
24,Azua,6,0.89,2.9,5.7,0.0,0,26,0.0,0.0
25,Dajabón,6,0.35,2.2,5.0,0.0,0,16,0.0,0.0
26,La Altagracia,6,3.27,3.9,5.4,0.0,0,72,0.0,0.0
27,María Trinidad Sánchez,6,0.24,0.8,4.1,0.0,0,14,0.0,0.0
28,Santo Domingo,6,1.72,2.0,4.4,20.706963439237153,105,370,42220.27,79247.57
29,Monte Plata,6,1.75,2.8,5.5,0.0,0,28,0.0,0.0
30,San Cristóbal,6,1.55,2.4,4.9,20.04170018363986,60,95,12658.72,22158.72
31,San Pedro de Macorís,6,0.79,3.0,6.6,19.579447183939884,47,42,5343.97,10911.939999999999
